iter	Logloss
0	0.6704486552
1	0.647638084
2	0.6270415633
3	0.606839759
4	0.5878186275
5	0.5688309204
6	0.5508141222
7	0.5350529421
8	0.5178403222
9	0.5001069237
10	0.4844921445
11	0.4675972661
12	0.4528347299
13	0.4392527472
14	0.4264095025
15	0.4136940831
16	0.4002112342
17	0.3890739027
18	0.3766556153
19	0.3650011583
20	0.3528621464
21	0.3418260005
22	0.3308810736
23	0.3206991823
24	0.312857381
25	0.3043031946
26	0.295182446
27	0.2862865922
28	0.2783058629
29	0.2708063901
30	0.2630193498
31	0.2557176989
32	0.2487235171
33	0.24182714
34	0.2356172965
35	0.2287929509
36	0.2236654034
37	0.218009322
38	0.2125586946
39	0.2068021337
40	0.2014527902
41	0.1963255565
42	0.1918037319
43	0.1874777744
44	0.1832336533
45	0.1796856009
46	0.175733933
47	0.1720643839
48	0.1686076559
49	0.165382385
50	0.1617829573
51	0.1586018514
52	0.1556120085
53	0.1522031595
54	0.1489458983
55	0.1457933885
56	0.1427932539
57	0.1401739566
58	0.1378905447
59	0.1353309427
60	0.1332729961
61	0.1308392994
62	0.1288496839
63	0.1264637572
64	0.1243802148
65	0.1221882666
66	0.1200088241
67	0.117832452
68	0.1158586847
69	0.1141378311
70	0.1122242725
71	0.1104268927
72	0.1084941075
73	0.106806897
74	0.1051447882
75	0.1035770467
76	0.1018609328
77	0.100323867
78	0.09897647706
79	0.09765762494
80	0.09643733368
81	0.09511184811
82	0.09398074534
83	0.09288393333
84	0.09159778192
85	0.09039705009
86	0.08946881472
87	0.08845415249
88	0.08715264656
89	0.08619363115
90	0.08528860117
91	0.08427079124
92	0.08341429548
93	0.08236067023
94	0.08137879661
95	0.08066740641
96	0.07981764701
97	0.0789484952
98	0.07819513061
99	0.07741591194
100	0.0766296801
101	0.07581350665
102	0.07516906843
103	0.07443636666
104	0.07384772574
105	0.0732126601
106	0.07249381242
107	0.07186568086
108	0.07128388567
109	0.07066132116
110	0.07006800699
111	0.06943639186
112	0.06888908432
113	0.06833868377
114	0.06771248076
115	0.0671978987
116	0.0666827008
117	0.06613382534
118	0.06560836822
119	0.0653835841
120	0.06492145917
121	0.06464966454
122	0.06416786056
123	0.06373424949
124	0.06335473643
125	0.06287455632
126	0.06236694498
127	0.0621080385
128	0.06177680501
129	0.06146376649
130	0.06108315004
131	0.06062160589
132	0.06018203886
133	0.05975671261
134	0.05939439667
135	0.05903554426
136	0.05868694412
137	0.05830702086
138	0.0580180551
139	0.0576725132
140	0.05724685099
141	0.05689680161
142	0.05665076075
143	0.05635834287
144	0.0560394462
145	0.05574834226
146	0.05545834757
147	0.05519274284
148	0.05484050925
149	0.05448609332
150	0.05424092805
151	0.05393421573
152	0.05361879196
153	0.05338819407
154	0.0530534588
155	0.05278683098
156	0.05252836527
157	0.0522775225
158	0.05201328694
159	0.05173904271
160	0.05151999483
161	0.05126146932
162	0.05103301105
163	0.05080706792
164	0.0505145541
165	0.05037792422
166	0.05021729459
167	0.04997179675
168	0.04975118007
169	0.04953802902
170	0.04933149026
171	0.0491442927
172	0.04895842312
173	0.04869894454
174	0.04854058997
175	0.04839501423
176	0.04815261447
177	0.04791856852
178	0.04769922022
179	0.04750274685
180	0.04729773013
181	0.04713413708
182	0.04690892525
183	0.04681761829
184	0.04669910887
185	0.04649071913
186	0.04630423008
187	0.04605825822
188	0.04585221974
189	0.04564493888
190	0.04541530353
191	0.04530603812
192	0.04509304534
193	0.0449318435
194	0.04470387648
195	0.04446131083
196	0.04441337279
197	0.04425621994
198	0.04406161483
199	0.04388081062
200	0.04371543465
201	0.04358412947
202	0.04341230798
203	0.04319983944
204	0.043003337
205	0.04279146284
206	0.04263326629
207	0.04247166016
208	0.04229953767
209	0.04217737733
210	0.04207303851
211	0.04193680903
212	0.0418182767
213	0.04164920019
214	0.04149336808
215	0.04131971333
216	0.04113422967
217	0.0410386345
218	0.04088152202
219	0.04077596521
220	0.04065079299
221	0.04045628556
222	0.04033934631
223	0.04023571533
224	0.04008976762
225	0.03991695005
226	0.03979589324
227	0.03967582671
228	0.03954916664
229	0.03939913081
230	0.03923440771
231	0.0391069999
232	0.0389981642
233	0.03890640483
234	0.03881051318
235	0.03864417124
236	0.03854047912
237	0.03845414781
238	0.03835710394
239	0.03820845943
240	0.03813509441
241	0.03805189143
242	0.03795986331
243	0.0378148477
244	0.037636907
245	0.03756405877
246	0.03745327766
247	0.03733551464
248	0.03722835808
249	0.03706191463
250	0.03696258601
251	0.03688291516
252	0.03679637364
253	0.03668282773
254	0.03657044817
255	0.03644361098
256	0.03634828019
257	0.03622760011
258	0.03610797242
259	0.03604266507
260	0.03593355441
261	0.03581435806
262	0.03569846006
263	0.03556336007
264	0.03544782068
265	0.03531575386
266	0.03517332253
267	0.03506909372
268	0.03499536911
269	0.03486057197
270	0.0347613194
271	0.03466653083
272	0.03461258593
273	0.0345459002
274	0.03451506112
275	0.0344031657
276	0.03425992654
277	0.03413027511
278	0.03404268422
279	0.03396165738
280	0.0338743434
281	0.0338021021
282	0.03373339856
283	0.03362701961
284	0.03357791372
285	0.03350828902
286	0.03343256448
287	0.03335256135
288	0.03325783872
289	0.03316942783
290	0.03303118859
291	0.03291535427
292	0.03286612138
293	0.0327525365
294	0.03259767099
295	0.03249109741
296	0.03233605666
297	0.0321947942
298	0.03212022963
299	0.03201696176
300	0.03187671092
301	0.03177126226
302	0.03168666087
303	0.03158779311
304	0.03147181493
305	0.03135166628
306	0.03124837742
307	0.03114163329
308	0.03100991358
309	0.03087548277
310	0.03077108939
311	0.03065178804
312	0.03055603771
313	0.03047466295
314	0.03040717317
315	0.03029560392
316	0.03018696769
317	0.03009940147
318	0.03002574248
319	0.02992298371
320	0.02983575829
321	0.02974058208
322	0.02964497881
323	0.02954898839
324	0.02947525587
325	0.02945674196
326	0.02939568794
327	0.02933024183
328	0.02929520158
329	0.02921690482
330	0.02910554574
331	0.02900029163
332	0.0289092499
